Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
dens_48848968737485,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.732,,CCCC(=O)OC,Solvent,0.268,,1.6546100000000004,0.002565,,,10.1016/j.jct.2006.05.004
dhmix_592425981731704,313.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.1003,,Cc1ccccc1,Solvent,0.8996999999999999,,,,0.2015,0.0015,10.1016/j.jct.2008.12.004
dhmix_733964192178189,298.15,101.0,Liquid,2,CCCCCO,Solvent,0.7406,,CCCCOCCCC,Solvent,0.2593999999999999,,,,0.531,0.011,10.1016/j.jct.2009.07.001
dhmix_1261378482688431,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.5106,,Nc1ccccc1,Solvent,0.4893999999999999,,,,-1.173,0.0125,10.1021/je200333p
dens_1277467744487436,298.15,101.0,Liquid,2,CCCC(=O)OC,Solvent,0.2372,,ClCCCCCl,Solvent,0.7628,,1.0753,0.000235,,,10.1016/j.jct.2006.10.008
dens_1379242187515209,298.15,100.0,Liquid,2,CC#N,Solvent,0.7952,,CCCCOCCCC,Solvent,0.2048,,0.7708800000000002,0.000245,,,10.1016/j.jct.2007.09.007
dens_1820034175228694,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.5409,,CN1CCCC1=O,Solvent,0.4590999999999999,,0.8757100000000002,0.000335,,,10.1016/j.jct.2006.06.005
dens_3842308976245269,298.15,101.0,Liquid,2,CCCCO,Solvent,0.5037,,CCCCOCCCC,Solvent,0.4962999999999999,,0.7803450000000002,0.000366,,,10.1021/je7005727
dhmix_3884100704099092,298.15,101.0,Liquid,2,C1CCCC1,Solvent,0.728,,CCCCCO,Solvent,0.272,,,,0.4827,0.00325,10.1021/je700308j
dens_4438302718372985,298.15,101.0,Liquid,2,BrCCCCBr,Solvent,0.7170000000000001,,COC=O,Solvent,0.283,,1.6702600000000003,0.00259,,,10.1016/j.jct.2006.05.004
dhmix_5216953796060540,298.15,101.0,Liquid,2,BrCCCCBr,Solvent,0.5184,,COC(C)=O,Solvent,0.4816,,,,0.4933,0.0046,10.1016/j.jct.2006.05.004
dens_6246885257220185,298.15,101.0,Liquid,2,CCO,Solvent,0.5001,,CCOC(=O)CC(=O)OCC,Solvent,0.4999,,0.9755770000000002,0.000107,,,10.1021/je100100n
dens_7389404444034143,298.15,101.0,Liquid,2,CCCOC(=O)CC,Solvent,0.556,,ClCCCCCCCl,Solvent,0.4439999999999999,,0.9642200000000004,0.000755,,,10.1016/j.jct.2008.10.007
dens_7891197293156197,298.15,101.0,Liquid,2,CCCCCCCCC,Solvent,0.4939,,CCCOC(C)=O,Solvent,0.5061,,0.7756000000000002,0.00015,,,10.1021/je3011979
dhmix_8447570649359775,308.15,101.32,Liquid,2,OCCO,Solvent,0.4817,,OCc1ccccc1,Solvent,0.5183,,,,0.201,0.00465,10.1021/je0342062
dens_8507121971977381,298.15,101.3,Liquid,2,CCOC(C)(C)C,Solvent,0.505,,Cc1ccccc1,Solvent,0.495,,0.7937390000000002,0.000467,,,10.1016/j.jct.2007.05.005
dens_9735190801552236,298.15,101.0,Liquid,2,BrCCCCCCBr,Solvent,0.7582,,CCCCOC(=O)CC,Solvent,0.2418,,1.4279800000000002,0.000305,,,10.1016/j.jct.2009.05.006
dhmix_13624411991961099,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2379,,Cc1ccccc1N,Solvent,0.7621,,,,-0.3658,0.004,10.1021/je1005196
dens_14353771607691854,298.15,101.0,Liquid,2,CCCOC=O,Solvent,0.7826,,ClCCCCCCCl,Solvent,0.2174,,0.9477200000000002,0.001125,,,10.1016/j.jct.2008.10.007
dens_15008167137789802,298.15,100.0,Liquid,2,CCCCCl,Solvent,0.2992,,CN(C)C=O,Solvent,0.7008,,0.9218000000000002,0.0002,,,10.1021/je700096m
dhmix_15785819543841227,298.15,101.0,Liquid,2,CCCCCO,Solvent,0.2518,,CCCCOCCCC,Solvent,0.7482,,,,0.832,0.017,10.1016/j.jct.2009.07.001
dens_15812997483798811,298.15,101.325,Liquid,1,CCC(=O)OC,Solvent,1.0,,,,,,0.9101800000000002,0.00045,,,10.1016/j.jct.2006.05.004
dens_16755306936326197,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2557,,Cc1ccccn1,Solvent,0.7443,,0.9597930000000002,0.000307,,,10.1016/j.jct.2010.12.028
dens_18047085819808180,308.15,101.3,Liquid,2,COC(=O)OC,Solvent,0.5285,,OCCCc1ccccc1,Solvent,0.4715,,1.0142200000000003,0.00026,,,10.1021/je0497395
dens_18799537459436867,298.15,101.3,Liquid,2,CCCCCCCC,Solvent,0.2120999999999999,,COC(=O)OC,Solvent,0.7879,,0.9316000000000002,0.00025,,,10.1021/je0301794
dens_19028061622240549,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.2962,,CO,Solvent,0.7038,,0.8506500000000001,0.00014,,,10.1016/j.tca.2014.03.038
dhmix_19060002401134283,298.15,101.3,Liquid,2,CCCCCO,Solvent,0.5003,,CCOC(=O)CC(=O)OCC,Solvent,0.4997,,,,2.467,0.01,10.1016/j.fluid.2009.11.030
dhmix_20380154310720203,308.15,101.3,Liquid,2,COC(=O)OC,Solvent,0.7384,,OCCc1ccccc1,Solvent,0.2616,,,,1.35,0.0125,10.1021/je0497395
dhmix_21994921667950318,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.5001,,CCCO,Solvent,0.4999,,,,0.595,0.0055,10.1021/je5004912
dhmix_22428169890990447,298.15,101.0,Liquid,2,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,0.286,,CCO,Solvent,0.714,,,,0.876,0.0265,10.1016/j.jct.2013.09.024
dhmix_24700325920498635,298.15,101.0,Liquid,2,CCC(C)(C)O,Solvent,0.7994,,CCOC(C)(C)CC,Solvent,0.2006,,,,0.448,0.0073,10.1021/je300670n
dhmix_24861770661619523,298.15,101.325,Liquid,2,CCCCC(=O)OCC,Solvent,0.739,,ClCCCCl,Solvent,0.261,,,,-0.1784,0.00215,10.1016/j.jct.2005.03.020
dens_25809683618448615,298.15,101.0,Liquid,2,CCCC(=O)OC,Solvent,0.5039,,ClCCCCCCl,Solvent,0.4961,,0.9991000000000002,0.00016,,,10.1016/j.jct.2006.10.008
dens_25810987980199799,298.15,101.0,Liquid,2,CCCCCC,Solvent,0.1588,,Cc1ccccc1,Solvent,0.8412,,0.8226300000000002,0.000335,,,10.1016/j.jct.2005.10.011
dens_27241401908451167,298.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.5035000000000001,,Cc1ccccc1Cl,Solvent,0.4965,,1.0247000000000004,0.0005,,,10.1016/j.jct.2013.12.006
dhmix_27382284803085111,303.15,101.0,Liquid,2,CCCCCO,Solvent,0.7369600000000001,,CCOC(=O)OCC,Solvent,0.26304,,,,1.562,0.0167,10.1021/je1013476
dens_28326538180052566,298.15,101.0,Liquid,2,CO,Solvent,0.51922,,OCC(F)(F)F,Solvent,0.48078,,1.1449100000000003,0.00015,,,10.1016/j.tca.2007.04.012
dens_29213618499921464,298.15,100.0,Liquid,2,C1CCOCC1,Solvent,0.254,,O=C1CCCCCC1,Solvent,0.746,,0.9355100000000002,0.00051,,,10.1021/acs.jced.6b00606
dhmix_29276719475484807,298.15,101.0,Liquid,2,C1CCCC1,Solvent,0.223,,CCCCCO,Solvent,0.777,,,,0.1885,0.0017,10.1021/je700308j
dens_30084818585402677,298.0,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.7006,,ClCCCCCCCl,Solvent,0.2994,,0.9853000000000002,0.00175,,,10.1021/je700339f
dhmix_30808884242784024,303.15,101.0,Liquid,2,CCCCCCCCO,Solvent,0.25082,,CCOC(=O)OCC,Solvent,0.74918,,,,1.9028,0.0203,10.1021/je1013476
dhmix_32318430718199776,298.15,101.0,Liquid,2,CCCOC(=O)CC,Solvent,0.4861,,ClCCCCCCCl,Solvent,0.5139,,,,-0.192,0.002,10.1016/j.jct.2008.10.007
dhmix_34492671652018222,291.15,101.32,Liquid,2,CCCCCC,Solvent,0.7343999999999999,,CCCOC=O,Solvent,0.2656,,,,0.9832,0.00845,10.1021/je060355j
dhmix_35301006695188726,303.15,100.0,Liquid,2,CCOC(=O)C(C)C,Solvent,0.289,,CO,Solvent,0.7110000000000001,,,,0.488,0.0035,10.1016/j.jct.2019.105884
dhmix_35673038543794437,298.15,101.325,Liquid,2,CCCCCCC,Solvent,0.4996,,COC=O,Solvent,0.5004,,,,2.2852,0.0142,10.1021/je030117d
dhmix_36560735846829137,298.15,101.0,Liquid,2,CCCOC(=O)CCC,Solvent,0.281,,ClCCCl,Solvent,0.719,,,,-0.286,0.003,10.1016/j.jct.2008.10.007
